p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.97722040053691,0.469,0.034,0,0,CCL2
0,2.91519637330596,0.838,0.053,0,0,S100A8
0,2.77502961856969,0.864,0.086,0,0,CXCL8
0,2.63752103148568,0.747,0.044,0,0,S100A9
0,2.43875532837346,0.966,0.117,0,0,C15orf48
0,2.41855706636697,1,0.869,0,0,FTL
0,2.13287203103403,0.995,0.252,0,0,TIMP1
0,2.09697377934562,0.744,0.068,0,0,CD14
0,2.03190759541002,0.908,0.18,0,0,LGALS3
0,2.03128241419902,0.986,0.176,0,0,TYROBP
0,1.99175663535371,0.908,0.195,0,0,S100A4
0,1.95495509483013,0.358,0.022,0,0,CXCL3
0,1.93860179097504,0.964,0.168,0,0,FCER1G
0,1.92895671468823,0.969,0.273,0,0,CD63
0,1.92699772482949,0.96,0.229,0,0,LGALS1
0,1.88986791767524,0.391,0.035,0,0,IL1B
0,1.88142521720578,0.795,0.106,0,0,PLAUR
0,1.87249886855752,0.93,0.24,0,0,ANXA5
0,1.86806824902157,0.757,0.088,0,0,LYZ
0,1.86770931815761,0.787,0.12,0,0,CTSB
0,1.77921857778202,0.92,0.172,0,0,TYMP
0,1.73958222931087,0.814,0.143,0,0,SOD2
0,1.69942999232839,0.577,0.041,0,0,PLA2G7
0,1.65949884255793,0.86,0.199,0,0,MARCKSL1
0,1.64683889797721,0.865,0.208,0,0,NPC2
0,1.63455174169369,0.571,0.094,0,0,CTSL
0,1.63044994291545,0.973,0.41,0,0,S100A10
0,1.58691010984481,0.604,0.057,0,0,FCN1
0,1.57853650304242,0.732,0.1,0,0,KYNU
0,1.56747437943667,0.557,0.048,0,0,IER3
0,1.5511707521871,0.887,0.255,0,0,ANXA2
0,1.53963027074413,0.952,0.322,0,0,SAT1
0,1.52736387009703,0.888,0.252,0,0,PSAP
0,1.52044587711791,0.152,0.006,0,0,CCL7
0,1.51041630237592,0.766,0.117,0,0,SPI1
0,1.50684306935508,0.439,0.028,0,0,VCAN
0,1.50408414913875,0.988,0.465,0,0,S100A11
0,1.50407722758727,0.504,0.029,0,0,CLEC5A
0,1.48674343718288,0.527,0.053,0,0,MAFB
0,1.46454509065349,0.646,0.086,0,0,CD68
0,1.44349229796349,0.973,0.459,0,0,S100A6
0,1.41983600523489,1,0.992,0,0,FTH1
0,1.41267036341057,0.896,0.279,0,0,ATP6V0B
0,1.41193020089477,0.339,0.022,0,0,CXCL2
0,1.4024361271809,0.575,0.073,0,0,CFP
0,1.37853978090846,0.513,0.06,0,0,IGSF6
0,1.36107721250564,0.896,0.261,0,0,RAC1
0,1.35936864455149,0.763,0.113,0,0,CST3
0,1.3553668491373,0.582,0.085,0,0,GRN
0,1.33188935564318,0.597,0.101,0,0,NINJ1
0,1.32554185445986,0.374,0.032,0,0,CYP1B1
0,1.31912087134894,0.84,0.258,0,0,GSTO1
0,1.30576533831562,0.69,0.14,0,0,LIMS1
0,1.30032046927075,0.466,0.044,0,0,OLR1
0,1.28683975076545,0.414,0.048,0,0,PPIF
0,1.28421609127314,0.721,0.267,0,0,CSTB
0,1.2805034682125,0.876,0.345,0,0,ATP6V1F
0,1.27949166904246,0.411,0.025,0,0,MGST1
0,1.26690492776368,0.712,0.193,0,0,CEBPB
0,1.26572585225667,0.332,0.019,0,0,THBS1
0,1.25243776210196,0.429,0.04,0,0,CD300E
0,1.24276241071759,0.816,0.262,0,0,SDCBP
0,1.22201455244698,0.503,0.061,0,0,SMIM25
0,1.19810882408614,0.454,0.049,0,0,NCF2
0,1.19769009000142,0.417,0.032,0,0,SLC7A11
0,1.19157682182601,0.514,0.09,0,0,CAPG
0,1.178679781585,0.404,0.035,0,0,C5AR1
0,1.16159829597708,0.476,0.078,0,0,CTSD
0,1.15940422669907,0.178,0.006,0,0,SERPINB2
0,1.15775203852629,0.442,0.058,0,0,IFI30
0,1.11782671612586,0.324,0.019,0,0,CLEC4E
0,1.10771436320156,0.978,0.592,0,0,EMP3
0,1.10509987331422,0.338,0.024,0,0,TGFBI
0,1.09998270936458,0.817,0.334,0,0,NFKBIA
0,1.09920983647357,0.364,0.037,0,0,PDLIM7
0,1.09531407930396,0.835,0.342,0,0,GPX4
0,1.09514683814337,0.439,0.084,0,0,GLUL
0,1.09014939009541,0.361,0.05,0,0,CD9
0,1.08503657397334,0.293,0.015,0,0,HPSE
0,1.08291213575834,0.261,0.008,0,0,S100A12
0,1.07069650432078,0.538,0.11,0,0,DUSP1
0,1.07053757936253,0.255,0.014,0,0,OSM
0,1.06378706767978,0.641,0.175,0,0,CARD16
0,1.06121995181144,0.74,0.204,0,0,COTL1
0,1.05577824153272,0.434,0.061,0,0,CYBB
0,1.05227904099523,0.377,0.051,0,0,SLC43A2
0,1.04859247855153,0.708,0.239,0,0,TALDO1
0,1.03524867726277,0.557,0.095,0,0,LST1
0,1.03262801432456,0.98,0.626,0,0,GAPDH
0,1.03194784209338,0.895,0.37,0,0,CLIC1
0,1.02312664174778,0.272,0.024,0,0,FPR1
0,1.02175868750033,0.363,0.047,0,0,GAPT
0,1.00855801339087,0.966,0.637,0,0,VIM
0,0.997349035327646,0.35,0.029,0,0,PID1
0,0.995266378566807,0.329,0.049,0,0,HMOX1
0,0.986877887980302,0.989,0.812,0,0,ACTB
0,0.985276276834577,0.34,0.035,0,0,LILRB4
0,0.982872043685537,0.874,0.388,0,0,ARPC1B
0,0.980978017359993,0.501,0.106,0,0,SLC16A3
0,0.980089249064382,0.451,0.084,0,0,APLP2
0,0.976583423135822,0.984,0.726,0,0,SH3BGRL3
0,0.971942415618467,0.308,0.028,0,0,SPHK1
0,0.958272407144319,0.5,0.109,0,0,TPM4
0,0.955135431950157,0.535,0.107,0,0,LMNA
0,0.950913232544156,0.215,0.009,0,0,MCEMP1
0,0.949685371504565,0.329,0.035,0,0,ENG
0,0.940883997831534,0.823,0.36,0,0,PKM
0,0.940867029681101,0.296,0.024,0,0,ANPEP
0,0.938513518461964,0.321,0.029,0,0,FNDC3B
0,0.929569323986078,0.387,0.072,0,0,BRI3
0,0.927831667021502,0.414,0.105,0,0,INSIG1
0,0.926191110204141,0.333,0.039,0,0,FCGRT
0,0.916814039808486,0.344,0.065,0,0,PHLDA1
0,0.911883759484247,0.373,0.059,0,0,CFD
0,0.90808236292693,0.316,0.041,0,0,PDE4DIP
0,0.90449893060888,0.985,0.776,0,0,PFN1
0,0.89939149482529,0.373,0.057,0,0,SERPINA1
0,0.894041221684729,0.271,0.02,0,0,DUSP6
0,0.886822825439784,0.451,0.101,0,0,SQOR
0,0.883092226395215,0.437,0.086,0,0,AIF1
0,0.87332967697814,0.484,0.096,0,0,CXCL16
0,0.868849756404571,0.939,0.291,0,0,HLA-DRA
0,0.867580351923714,0.386,0.078,0,0,RNF130
0,0.863494195757749,0.638,0.201,0,0,CTSS
0,0.8625472231191,0.494,0.128,0,0,BID
0,0.861130005945391,0.272,0.028,0,0,RAB13
0,0.854158043743795,0.505,0.144,0,0,AP1S2
0,0.844288709395227,0.353,0.063,0,0,PILRA
0,0.835575001750149,0.41,0.081,0,0,C3AR1
0,0.835485862997317,0.227,0.021,0,0,SLC11A1
0,0.827023903982591,0.232,0.011,0,0,AC245128.3
0,0.824229822686248,0.398,0.094,0,0,PLSCR1
0,0.823966728810061,0.541,0.16,0,0,GRB2
0,0.818354368398957,0.276,0.037,0,0,RAB32
0,0.810127430606889,0.304,0.046,0,0,VRK2
0,0.808093547263648,0.739,0.334,0,0,DYNLL1
0,0.805747069096245,0.495,0.133,0,0,GABARAP
0,0.803300110382299,0.383,0.096,0,0,IFNGR2
0,0.802120271157152,0.457,0.128,0,0,STXBP2
0,0.801667075074321,0.511,0.147,0,0,HSBP1
0,0.795187922310955,0.381,0.08,0,0,ATP6V1B2
0,0.789028223970905,0.661,0.268,0,0,NEAT1
0,0.787416534938083,0.993,0.806,0,0,OAZ1
0,0.780117072231755,0.239,0.026,0,0,MXD1
0,0.779977862107128,0.978,0.795,0,0,MYL6
0,0.7799066734032,0.389,0.105,0,0,NAMPT
0,0.778436421798019,0.279,0.042,0,0,LGMN
0,0.778394191412393,0.203,0.011,0,0,TREM1
0,0.756829236586045,0.248,0.034,0,0,QPCT
0,0.753260713614958,0.367,0.079,0,0,FLNA
0,0.750943480556788,0.638,0.261,0,0,PRDX1
0,0.750803060524651,0.539,0.179,0,0,RTN4
0,0.74909065704116,0.376,0.094,0,0,LACTB
0,0.748122272016758,0.232,0.028,0,0,ATF5
0,0.747493163364812,0.228,0.017,0,0,CCR1
0,0.747335544579047,0.966,0.683,0,0,SRGN
0,0.744115695952276,0.956,0.605,0,0,CYBA
0,0.741186203778328,0.264,0.046,0,0,FOS
0,0.740568854060281,0.321,0.071,0,0,FLOT1
0,0.732560123770781,0.274,0.046,0,0,HCK
0,0.729039543959072,0.442,0.128,0,0,RAB10
0,0.727170531705271,0.81,0.273,0,0,HLA-DRB1
0,0.714631040934773,0.224,0.024,0,0,TLR2
0,0.707839611582824,0.228,0.031,0,0,GNA15
0,0.703856679748914,0.178,0.008,0,0,CYP27A1
0,0.699474920523119,0.416,0.084,0,0,MS4A7
0,0.698589801643268,0.271,0.047,0,0,PGD
0,0.696918729616157,0.569,0.209,0,0,RAB5IF
0,0.694559751264816,0.208,0.022,0,0,FCGR2A
0,0.689448483836609,0.204,0.016,0,0,FPR3
0,0.651776915119353,0.373,0.095,0,0,PPP1R15A
0,0.628486419183261,0.186,0.011,0,0,LHFPL2
0,0.580162787299339,0.583,0.2,0,0,TXN
0,0.395007975380874,0.994,0.93,0,0,H3F3B
0,0.38369916148061,0.991,0.896,0,0,EIF1
8.7354088720964e-292,0.57782528457022,0.836,0.478,1.22863525786036e-287,0,ACTG1
8.96240822834973e-292,0.729830985969453,0.325,0.078,1.26056271731739e-287,0,PLEK
1.06982172084786e-289,0.845986510601622,0.237,0.039,1.50470425037251e-285,0,FUCA1
1.54737517447978e-287,0.681708896430673,0.41,0.121,2.17638318290581e-283,0,CASP1
1.28725475877868e-286,0.593890491853816,0.169,0.015,1.81052381822221e-282,0,ADM
7.39755797097055e-286,0.841312274478482,0.229,0.036,1.04046652861701e-281,0,APOBEC3A
8.06168387912161e-286,1.2051785050123,0.132,0.005,1.13387583759845e-281,0,CXCL1
2.24263595618054e-285,0.85139681189969,0.241,0.042,3.15426747236794e-281,0,SLC25A37
3.18441486072345e-283,0.616179439747188,0.174,0.017,4.47887950160753e-279,0,NECTIN2
3.29605533608527e-280,0.639080295757979,0.228,0.037,4.63590183020394e-276,0,LILRB2
5.09174673861368e-280,0.665613014219347,0.537,0.204,7.16154178786014e-276,0,DYNLT1
1.42911999824148e-279,0.65941148963029,0.222,0.035,2.01005727752665e-275,0,IL13RA1
2.98199338088882e-279,0.62505282280249,0.22,0.034,4.19417369022012e-275,0,PTGER2
8.76423889946715e-279,0.632855347032491,0.309,0.073,1.23269020121005e-274,0,ZEB2
1.51652576492213e-277,0.333823142307422,0.404,0.111,2.13299348836297e-273,0,FCGR3A
1.74356916597781e-274,0.663788869221254,0.568,0.229,2.45233003194779e-270,0,SQSTM1
8.19729895059513e-272,0.599763946332441,0.228,0.038,1.15295009740121e-267,0,CREG1
2.1192231721898e-271,0.725003261910375,0.386,0.115,2.98068739168495e-267,0,C1orf162
2.89072474360195e-271,0.610137936632861,0.759,0.403,4.06580435187614e-267,0,ARPC5
6.39632740246698e-271,1.30446647849631,0.146,0.01,8.99643449156981e-267,0,G0S2
4.1083396697954e-270,0.614183093611903,0.252,0.049,5.77837974556723e-266,0,RIT1
5.97760897740625e-266,0.669121239647603,0.267,0.056,8.40750702672189e-262,0,C1orf122
1.55048466742228e-265,0.628298905336668,0.191,0.026,2.18075668472944e-261,0,RAB31
4.0206747520497e-263,0.596293954285275,0.236,0.043,5.6550790387579e-259,0,PDXK
6.80226036910063e-262,0.580528428373875,0.203,0.03,9.56737920914003e-258,0,MPP1
8.67972138372433e-262,0.601430968698069,0.663,0.302,1.22080281262083e-257,0,PPP4C
5.21238772820375e-261,0.598303014228514,0.237,0.044,7.33122333971858e-257,0,TCIRG1
2.6795095587728e-258,0.568406179550812,0.172,0.02,3.76873019441394e-254,0,CD36
5.41013885903614e-258,0.579587753364034,0.2,0.03,7.60936030523433e-254,0,NPL
1.42456690868155e-257,0.652954773392931,0.314,0.081,2.00365335706059e-253,0,CTSH
6.73039360850244e-257,0.620984177609619,0.248,0.05,9.46629861035868e-253,0,TXNRD1
5.45629847925813e-256,0.58011590570948,0.158,0.015,7.67428381107656e-252,0,AQP9
9.75638635341329e-255,0.579024825553755,0.158,0.016,1.37223574060758e-250,0,SDSL
1.81273551962393e-254,0.541501055566779,0.146,0.012,2.54961250835105e-250,0,SEMA6B
6.83884113063077e-254,0.502948252749166,0.898,0.617,9.61883005023218e-250,0,TMBIM6
3.68996190702302e-252,0.461281066497905,0.914,0.682,5.18993142222787e-248,0,ARPC2
1.84883702010524e-251,0.628480828547495,0.355,0.103,2.60038926877803e-247,0,ASAH1
9.13701500259564e-251,0.724823031913432,0.335,0.094,1.28512116011508e-246,0,PLIN2
4.88550355438345e-250,0.515626826118588,0.854,0.525,6.87146074924032e-246,0,ARPC3
8.14031202304728e-250,0.600185935972834,0.168,0.02,1.1449348860416e-245,0,GPR35
1.63588960789869e-249,0.627963939789753,0.262,0.059,2.30087873350951e-245,0,PEA15
4.2250497420079e-246,0.577192531159268,0.238,0.048,5.94253246213411e-242,0,PTPRE
4.94032160760765e-246,0.646453171264737,0.458,0.166,6.94856234110016e-242,0,TSPO
5.76614702039304e-246,0.588174657310412,0.331,0.092,8.11008578418281e-242,0,FERMT3
6.74626169543202e-246,0.626337263190152,0.243,0.05,9.48861707462514e-242,0,TNFRSF1A
8.6683054957265e-245,0.572826473376791,0.16,0.018,1.21919716797393e-240,0,EPB41L3
1.87982859696486e-243,0.518526208638417,0.162,0.019,2.64397892163108e-239,0,PLXDC2
1.01631462741167e-242,0.612775854139832,0.196,0.031,1.42944652345451e-238,0,FGR
1.21739614221227e-241,0.473764807682751,0.126,0.008,1.71226767402156e-237,0,GPR84
1.60989059617749e-241,0.556995762285537,0.176,0.023,2.26431112352363e-237,0,STK24
5.71092331550089e-241,0.614409428054931,0.225,0.043,8.032413643252e-237,0,MBOAT7
3.20087275466672e-240,0.645447822904996,0.437,0.156,4.50202752943875e-236,0,METTL9
3.47791371997013e-239,0.664420479115425,0.245,0.052,4.89168564713799e-235,0,ACP5
9.12823875818488e-239,0.610722741475688,0.221,0.042,1.2838867813387e-234,0,AGTRAP
1.38322776255629e-237,0.550126705517524,0.167,0.021,1.94550984803542e-233,0,CCRL2
1.14634318350368e-234,0.581056645187059,0.378,0.121,1.61233168759793e-230,0,EIF4E2
3.23939402671356e-234,0.593472482042661,0.204,0.036,4.55620769857262e-230,0,IL4I1
6.4144694133149e-232,0.568904642217753,0.224,0.044,9.02195122982741e-228,0,PLIN3
1.26079624277502e-231,0.692242273327775,0.233,0.05,1.77330991546307e-227,0,SMCO4
